Sample Skill,Similar Skills
itrs,autosys(0.9402907490730286),control - m(0.939659595489502),servicenow(0.9294182658195496),win runner(0.9161090850830078),job scheduling(0.9145463109016418)
toad,reporting tools(0.9637759923934937),microsoft visio(0.9368789196014404),oracle sql(0.931871235370636),putty(0.9287890195846558),database tools(0.9279384016990662)
investment banking,quality assurance systems(0.9780393838882446),financial services(0.973888635635376),capital markets(0.97056645154953),retail banking(0.969146728515625),regulatory(0.9684141874313354)
investment,iso 9001 : 2000(0.9761046171188354),regulatory(0.9756328463554382),resource management(0.9692039489746094),key account(0.969097375869751),p & l management(0.9690728783607483)
banking,insurance(0.9009732604026794),product development life cycle(0.8845106959342957),production(0.873760461807251),health care(0.8715011477470398),telecom(0.86748206615448)
gps,motors(0.9634186029434204),mathematics(0.9546785950660706),ethics.(0.9530699849128723),programmable logic(0.9474334716796875),financial forecasts(0.9463307857513428)
asp,mvc 5(0.9504225850105286),crystal report(0.9484499096870422),linq(0.9427927136421204),ms - sql(0.9417350888252258),wcf(0.9394632577896118)
financial services,investments(0.9883865118026733),rfp(0.9866939783096313),wealth management(0.9838753938674927),rfi(0.9819740056991577),valuations(0.9783150553703308)
build team,software applications.(0.9161915183067322),project development(0.8922298550605774),business applications(0.8902208805084229),information technology(0.8899820446968079),customer management(0.8800217509269714)
l1,nhs and united nations(0.9903882741928101),ministry of defense(0.9899787902832031),data integration (4 years)(0.9897599220275879),personnel administration.(0.9893604516983032),sip (10+ years)(0.9888073205947876)
sla.,mvs(0.9724148511886597),intertest(0.9679160118103027),endevor(0.9669917225837708),hyperion essbase(0.9655890464782715),file - aid(0.9624467492103577)
collections,javabeans(0.9418225288391113),lead teams(0.9257886409759521),collaborative problem solving(0.9189762473106384),corporate training(0.9180378913879395),serialization(0.9179637432098389)
pl / sql,"sql , pl(0.9598032832145691)",sql(0.9590396285057068),sybase(0.9539167881011963),oracle pl / sql(0.949639081954956),rdbms(0.9487373232841492)
database,"sybase , sql server(0.9366917610168457)",pl / sql(0.9104428291320801),"sql , pl(0.9048222303390503)",stored procedures(0.8975180983543396),database design(0.896689772605896)
sql * plus,cursors(0.9538589715957642),oracle pl(0.942214846611023),oracle rdbms(0.9373179078102112),teradata(0.9359316825866699),jcl(0.9207083582878113)
slas,kaizen(0.9859457612037659),iso 9000(0.9846600890159607),federal government(0.9834122061729431),maintenance activities(0.9833127856254578),business operation(0.983237087726593)
communication skills,verbal(0.9604852199554443),work ethics(0.9560001492500305),self - motivated(0.9541615843772888),analytical skills(0.9538725018501282),team environment(0.9536400437355042)
trigger,foxbase(0.9838541150093079),bios(0.9828553795814514),transport management(0.9777828454971313),dash(0.9775920510292053),fast search(0.9760215282440186)
oracle 11g,oracle sql(0.9686038494110107),sql developer(0.9637250304222107),db2(0.9560982584953308),databases(0.9557352662086487),postgres(0.95143061876297)
shell scripts,oracle 10g / 11g(0.9513829946517944),unix shell(0.9496188759803772),sql * loader(0.9456933736801147),"unix , shell(0.9402174949645996)",dataguard(0.9365209937095642)
windows xp,windows 7(0.9900675415992737),xp(0.9876082539558411),vista(0.983166515827179),windows(0.951734721660614),windows 98(0.9509170055389404)
monitoring tool,load balancers(0.9667821526527405),rspec(0.9664811491966248),debian(0.9611138701438904),ehcache(0.9596349000930786),service now(0.9577516317367554)
ionic framework,cordova / phonegap(0.9730380177497864),maintain client(0.9711386561393738),jquery mobile(0.9690921902656555),flash.(0.9670166373252869),off page(0.9669369459152222)
ionic,sass(0.9594606757164001),ui frameworks(0.9559738039970398),oojs(0.9548705220222473),bootstrap 3(0.9257914423942566),https(0.9243159294128418)
responsive design,psd to html(0.9761016368865967),psd(0.9756065607070923),require.js(0.974014937877655),https(0.9724685549736023),interface design(0.9672107100486755)
java script,markup languages(0.9475575089454651),html(0.9153409600257874),javascript(0.9128257632255554),vb6(0.9060667157173157),web technologies(0.9017610549926758)
web designing,opencart(0.9103845357894897),web design(0.905056357383728),web development technologies(0.9037805795669556),front end design(0.8941044807434082),type script(0.8919188976287842)
photoshop,adobe photoshop(0.975284218788147),illustrator(0.9474103450775146),adobe(0.9362614750862122),adobe dreamweaver(0.9285624623298645),flash(0.9227830767631531)
api,rest api(0.9295750260353088),rest(0.9135305285453796),restful api(0.9132389426231384),java 8(0.9115329384803772),web services(0.9070457220077515)
d3.js,websocket(0.9454897046089172),javascript frameworks(0.9407818913459778),nodejs.(0.9201949834823608),"javascript , ajax(0.8983253240585327)",cordova(0.8959489464759827)
css.,java core(0.9342000484466553),python 3(0.9208714365959167),bootstrap 4(0.9117677211761475),cakephp(0.9102602601051331),html(0.9090363383293152)
sql server 2005,sql server 2008(0.9800835847854614),ms - sql(0.9493474960327148),database management system(0.947254478931427),webforms(0.9471248388290405),msbi(0.9463633298873901)
.net,asp.net(0.9840043187141418),vb.net(0.982740044593811),c #(0.9762055277824402),wpf(0.9731060266494751),entity framework(0.9719094038009644)
grails,mrm(0.9274568557739258),global marketing(0.9170597195625305),groovy(0.9103478193283081),automation tests(0.9060682058334351),marketing activities(0.8888660669326782)
mac os - x,sap solution manager(0.8698830008506775),sap basis administration(0.8395307660102844),maxdb(0.8238579630851746),sap sales(0.7717286348342896),vbs(0.727507472038269)
mac,mac os x(0.9501912593841553),os x(0.9406591057777405),mac os(0.9403802752494812),win7(0.9247437715530396),windows(0.9231849908828735)
mac os,vista(0.9609581828117371),xp(0.9517355561256409),dos(0.9492201805114746),mac os x(0.9414030909538269),mac(0.9403802752494812)
os - x,windows 95(0.9036535620689392),windows nt(0.9024012684822083),solaris(0.8857778906822205),sun solaris(0.8762840032577515),aix(0.8646122217178345)
data structure,java(0.9139508605003357),oops concept(0.9013373255729675),django framework(0.9009777307510376),java.(0.8992244601249695),j2se(0.895251989364624)
microsoft visual studio,visual studio(0.974149763584137),notepad++(0.9516858458518982),atom(0.939343273639679),sqlite(0.9229159355163574),visual studio code(0.9165505170822144)
visual studio,microsoft visual studio(0.9741499423980713),visual studio code(0.9408919811248779),notepad++(0.9288628101348877),atom(0.9113155603408813),kendoui(0.8956369161605835)
eclipse,ide(0.9654422998428345),intellij(0.9639994502067566),net beans(0.9526819586753845),eclipse ide(0.952278733253479),rad(0.9296085238456726)
ide,eclipse(0.9654423594474792),net beans(0.9596920013427734),intellij(0.9268887042999268),netbeans(0.8987125158309937),filezilla(0.897060215473175)
atom,notepad++(0.9750444293022156),microsoft visual studio(0.9393433332443237),sublime text(0.9263429045677185),android studio(0.9195792078971863),visual studio code.(0.9134963750839233)
brackets,sublime text(0.9556078910827637),aptana(0.9206434488296509),webstorm(0.9150522351264954),storm(0.9073236584663391),adobe pagemaker(0.902326762676239)
ms - office,ms - windows(0.9731659293174744),ms - power point(0.9557791948318481),windows os(0.9545468688011169),internet browsing(0.9542346000671387),ms - word(0.9471530914306641)
adobe photoshop,adobe(0.9790130853652954),photoshop(0.975284218788147),illustrator(0.9401995539665222),dreamweaver(0.9375728964805603),adobe dreamweaver(0.9301590919494629)
adobe,adobe photoshop(0.9790131449699402),photoshop(0.9362616539001465),dreamweaver(0.9310646057128906),adobe flash(0.9187816977500916),adobe dreamweaver(0.9033858180046082)
wamp,dds(0.9057713150978088),action script(0.9025030136108398),dreamweaver(0.8922064304351807),microsoft visual sourcesafe(0.8887702226638794),xampp(0.8839978575706482)
ilm,zend studio(0.8017845749855042),graphic tools(0.7761650681495667),dimensions cm(0.7695500254631042),iis.(0.763062059879303),web development tools(0.7454425692558289)
innovative,creative(0.9370389580726624),team environment.(0.9150810241699219),working independently(0.9123940467834473),written and verbal communication.(0.8968399167060852),team environment(0.8734803199768066)
ux,sharepoint server(0.913714587688446),content management(0.889003574848175),microsoft sharepoint(0.8796295523643494),"jira , agile(0.8781125545501709)",gimp(0.8735713362693787)
io,ds(0.9688666462898254),adapters(0.9672814011573792),jni(0.9662609696388245),plc.(0.9651255011558533),vofm(0.9643564820289612)
business understanding,product development life cycle(0.8354529738426208),gap analysis.(0.8068028092384338),group insurance(0.801729679107666),consulting clients(0.7957093119621277),web - based application.(0.7935493588447571)
mentoring,multiple projects(0.9653222560882568),communicating(0.9649097919464111),process flows.(0.9589952826499939),quality management(0.9575880765914917),product development(0.953587532043457)
co - ordinating,resource utilization(0.9863759875297546),scheduling appointments(0.9851104021072388),strategic sourcing(0.9845206141471863),supplier management(0.9835256934165955),business continuity(0.9827719330787659)
telecom,test case execution(0.9093008041381836),banking(0.8674821853637695),software configuration management(0.8665099740028381),project life - cycle(0.8429333567619324),health care(0.8321818709373474)
understand customer needs,material planning(0.8882918357849121),yammer(0.8699732422828674),data architecture.(0.8609011769294739),employee training(0.8591123223304749),understand customer(0.8532434701919556)
understand customer,scp(0.9681491255760193),preparing reports(0.9670729041099548),security+(0.9643337726593018),administration / management(0.9638350605964661),maintenance(0.9638105630874634)
customer needs,customer satisfaction(0.9906436204910278),hiring(0.9883713126182556),geology(0.9875220656394958),customer care(0.9869223833084106),training programs(0.9869149923324585)
data architecture.,understand customer(0.938671886920929),scp(0.9382421374320984),six sigma green belt(0.9280972480773926),change management process(0.9255582690238953),administration / management(0.9253435730934143)
big data,hdfs(0.9769474267959595),sqoop(0.9606109261512756),pig(0.9595183730125427),map reduce(0.95943284034729),hbase(0.9592452049255371)
mvc,n - tier architecture(0.9324977993965149),model - view - controller(0.9111701250076294),ood(0.9110022783279419),design patterns(0.9056782126426697),web services(0.8995940685272217)
data integration.,sales / service(0.5128470063209534),"banking , financial services(0.5076144933700562)",low - level designs(0.5010959506034851),jee systems(0.4956112205982208),real estate management(0.49429717659950256)
leaflet,veritas(0.7843578457832336),apache web server(0.7657885551452637),apache webserver(0.7624279856681824),samba(0.7590078711509705),apache server(0.7526061534881592)
api integration,ruby on rails(0.9441056847572327),gson(0.9269634485244751),rails(0.926180362701416),windows based application(0.9225652813911438),knockout js(0.9203888773918152)
back - end,backend(0.9460487961769104),api.(0.9349199533462524),web application(0.9253662824630737),ui(0.9181831479072571),front - end(0.9131805896759033)
telecom domain,uat(0.9706158638000488),design reviews(0.953037679195404),release management(0.9432987570762634),code reviews(0.9415715336799622),qa(0.9376806616783142)
rf,g c(0.9590294361114502),nu(0.9577481150627136),electrical(0.9516915082931519),xc(0.9497898817062378),dxp(0.9468439221382141)
work order,asap methodology(0.9734715223312378),lsmw(0.9730612635612488),consolidation(0.9720397591590881),hedge funds(0.9694756865501404),material management(0.969428300857544)
data analytics,analytics(0.9264295101165771),operations research(0.9262702465057373),cluster analysis(0.9120116829872131),sas/sql(0.8982908129692078),big data analysis(0.893559992313385)
performance improvement,reporting(0.9909558892250061),outsourcing(0.9900684356689453),raw material(0.9893627166748047),brokerage(0.9876227378845215),housekeeping(0.9873864650726318)
analytics,data analytics(0.9264295697212219),predictive analytics(0.9135782122612),weka(0.8817978501319885),business analytics(0.8724991679191589),knime(0.8715654611587524)
cms,ui applications(0.9556543231010437),ext.js(0.9517015814781189),yui(0.9475536942481995),flash(0.943229615688324),fireworks(0.9430259466171265)
medical,medical transcription(0.9694684743881226),quantitative analysis(0.9562472701072693),mechanical design.(0.947364091873169),drive revenue(0.9456019997596741),budgets(0.9428112506866455)
healthcare,business process(0.9363639950752258),system analysis(0.935488760471344),product development(0.9322197437286377),process design(0.9318168759346008),cross - functional(0.9287914633750916)
